"'['||S.BUILDING_ID||']'","LATN_NAME","BUILDING_NAME"
"[11562734]","衢州市","百盛路408号-开化魅力星座娱乐城"
"[11562735]","衢州市","205国道1745公里+700米-开化公路动植物卫生监督检查站"
"[11562736]","衢州市","上界首229号-鸿德制砖厂"
"[11562737]","衢州市","华埠镇渔梁滩37号-开化县易晓食品公司办公大楼"
"[11562738]","衢州市","华埠镇渔梁滩37号-开化县易晓食品公司生产车间1幢"
"[11562739]","衢州市","华埠镇渔梁滩37号-开化县易晓食品公司生产车间2幢"
"[11562740]","衢州市","百盛路259号-开化众诚汽车服务有限公司"
"[11562741]","衢州市","百盛路223号-开化河星鞋业有限公司办公大楼"
"[11562742]","衢州市","百盛路223号-开化河星鞋业有限公司生产车间1幢"
"[11562743]","衢州市","百盛路223号-开化河星鞋业有限公司生产车间2幢"
"[11562744]","衢州市","百盛路223号-开化河星鞋业有限公司生产车间3幢"
"[11562745]","衢州市","百盛路221号-十通古艺展示大楼（老的）"
"[11562746]","衢州市","百盛路221号-十通古艺生产车间A大楼（老的）"
"[11562747]","衢州市","百盛路221号-十通古艺生产车间B大楼（老的）"
"[11562748]","衢州市","百盛路221号-十通古艺生产车间C大楼（老的）"
"[11562749]","衢州市","205国道旁-205国道开化县（华埠）超限运输检测站"
"[11562750]","衢州市","205国道旁-开化县公安局驻交通运输局警务室"
"[11562751]","衢州市","205国道旁-开化交警大队华埠中队大楼"
"[11562752]","衢州市","百盛路213号-锦新建筑材料有限公司办公大楼"
"[11562753]","衢州市","百盛路213号-锦新建筑材料有限公司生产车间"
"[11562754]","衢州市","百盛路209号-浙江华和五金制品有限公司办公大楼"
"[11562755]","衢州市","百盛路209号-浙江华和五金制品有限公司A幢"
"[11562756]","衢州市","百盛路209号-浙江华和五金制品有限公司B幢"
"[11562757]","衢州市","百盛路209号-浙江华和五金制品有限公司生产车间1幢"
"[11562758]","衢州市","百盛路209号-浙江华和五金制品有限公司生产车间2幢"
"[11562759]","衢州市","百盛路209号-浙江华和五金制品有限公司生产车间3幢"
"[11562760]","衢州市","百盛路209号-浙江华和五金制品有限公司生产车间4幢"
"[11562761]","衢州市","百盛路209号-浙江华和五金制品有限公司生产车间5幢"
"[11562762]","衢州市","百盛路209号-浙江华和五金制品有限公司生产车间6幢"
"[11562763]","衢州市","百盛路209号-浙江华和五金制品有限公司生产车间7幢"
"[11562764]","衢州市","百盛路209号-浙江华和五金制品有限公司生产车间8幢"
"[11562765]","衢州市","百盛路209号-浙江华和五金制品有限公司生产车间9幢"
"[11562766]","衢州市","百盛路209号-浙江华和五金制品有限公司生产车间10幢"
"[11562767]","衢州市","华埠工业园区-浙江硅宏电子科技有限公司1幢"
"[11562768]","衢州市","华埠工业园区-浙江硅宏电子科技有限公司2幢"
"[11562769]","衢州市","华埠工业园区-浙江硅宏电子科技有限公司3幢"
"[11562770]","衢州市","华埠工业园区-浙江硅宏电子科技有限公司4幢"
"[11562771]","衢州市","华埠工业园区-浙江硅宏电子科技有限公司5幢"
"[11562772]","衢州市","华埠工业园区-浙江硅宏电子科技有限公司6幢"
"[11562773]","衢州市","华埠镇高山-华埠镇中学教学楼"
"[11562774]","衢州市","华埠镇高山-华埠镇中学学生宿舍楼A幢"
"[11562775]","衢州市","华埠镇高山-华埠镇中学学生宿舍楼B幢"
"[11562776]","衢州市","华埠镇高山-华埠镇中学学生宿舍楼C幢"
"[11562777]","衢州市","华埠镇高山-华埠镇中学综合楼"
"[11562778]","衢州市","华埠镇高山-华埠镇中学行政大楼"
"[11562779]","衢州市","华埠镇高山-华埠镇中学教师宿舍楼A幢"
"[11562780]","衢州市","华埠镇高山-华埠镇中学教师宿舍楼B幢"
"[11562781]","衢州市","华埠镇高山-华埠镇中学教师办公楼"
"[11562782]","衢州市","华埠镇高山-华埠镇中学餐厅大楼"
